#,Date-Time (CET/CEST),Temp,Light,Host Connected,Button Down,Button Up,End of File
1,06/22/2023 10:50:07,,,Logged,,,
2,07/01/2023 08:00:00,12.40,10.25,,,,
3,07/01/2023 09:00:00,11.28,0.85,,,,
4,07/01/2023 10:00:00,13.08,1937.28,,,,
5,07/01/2023 11:00:00,14.93,4998.40,,,,
6,07/01/2023 12:00:00,12.31,3.69,,,,
7,07/01/2023 13:00:00,12.14,7.82,,,,
8,07/01/2023 14:00:00,14.03,177.20,,,,
9,07/01/2023 15:00:00,13.64,33.32,,,,
10,07/01/2023 16:00:00,12.31,3.48,,,,
11,07/01/2023 17:00:00,9.09,53.08,,,,
12,07/01/2023 18:00:00,7.63,199.44,,,,
13,07/01/2023 19:00:00,7.59,156.20,,,,
14,07/01/2023 20:00:00,5.83,0.00,,,,
15,07/01/2023 21:00:00,5.57,26.30,,,,
16,07/01/2023 22:00:00,6.22,17.25,,,,
17,07/01/2023 23:00:00,6.05,16.39,,,,
18,07/02/2023 00:00:00,5.83,18.96,,,,
19,07/02/2023 01:00:00,5.49,7.98,,,,
20,07/02/2023 02:00:00,5.40,19.42,,,,
21,07/02/2023 03:00:00,5.75,56.56,,,,
22,07/02/2023 04:00:00,6.26,50.02,,,,
23,07/02/2023 05:00:00,6.60,64.34,,,,
24,07/02/2023 06:00:00,7.33,100.16,,,,
25,07/02/2023 07:00:00,7.46,65.20,,,,
26,07/02/2023 08:00:00,6.73,47.02,,,,
27,07/02/2023 09:00:00,6.09,538.72,,,,
28,07/02/2023 10:00:00,7.76,353.12,,,,
29,07/02/2023 11:00:00,9.78,87.20,,,,
30,07/02/2023 12:00:00,14.24,1527.04,,,,
31,07/02/2023 13:00:00,16.90,48.16,,,,
32,07/02/2023 14:00:00,16.13,48.64,,,,
33,07/02/2023 15:00:00,12.22,6.75,,,,
34,07/02/2023 16:00:00,9.82,3.05,,,,
35,07/02/2023 17:00:00,8.45,26.35,,,,
36,07/02/2023 18:00:00,8.15,437.60,,,,
37,07/02/2023 19:00:00,6.99,0.21,,,,
38,07/02/2023 20:00:00,7.81,1.98,,,,
39,07/02/2023 21:00:00,7.76,65.08,,,,
40,07/02/2023 22:00:00,7.25,0.85,,,,
41,07/02/2023 23:00:00,6.86,0.00,,,,
42,07/03/2023 00:00:00,8.19,0.00,,,,
43,07/03/2023 01:00:00,8.15,0.00,,,,
44,07/03/2023 02:00:00,7.76,0.00,,,,
45,07/03/2023 03:00:00,7.68,0.00,,,,
46,07/03/2023 04:00:00,7.63,0.00,,,,
47,07/03/2023 05:00:00,8.41,0.00,,,,
48,07/03/2023 06:00:00,9.78,0.00,,,,
49,07/03/2023 07:00:00,10.68,0.00,,,,
50,07/03/2023 08:00:00,11.49,0.00,,,,
51,07/03/2023 09:00:00,14.37,0.42,,,,
52,07/03/2023 10:00:00,12.57,6.34,,,,
53,07/03/2023 11:00:00,12.57,18.80,,,,
54,07/03/2023 12:00:00,13.00,2.59,,,,
55,07/03/2023 13:00:00,13.08,3.02,,,,
56,07/03/2023 14:00:00,12.74,3.05,,,,
57,07/03/2023 15:00:00,12.61,5.43,,,,
58,07/03/2023 16:00:00,12.44,0.00,,,,
59,07/03/2023 17:00:00,10.94,0.00,,,,
60,07/03/2023 18:00:00,11.15,0.00,,,,
61,07/03/2023 19:00:00,10.51,13.39,,,,
62,07/03/2023 20:00:00,9.56,4.31,,,,
63,07/03/2023 21:00:00,8.96,6.69,,,,
64,07/03/2023 22:00:00,8.58,3.64,,,,
65,07/03/2023 23:00:00,9.65,38.41,,,,
66,07/04/2023 00:00:00,12.57,1.71,,,,
