#,Date-Time (CET/CEST),Temp,Light,Button Down,Button Up,Host Connected,End of File
1,06/22/2023 11:00:00,26.34,17.21,,,,
2,06/22/2023 12:00:00,27.84,31.12,,,,
3,06/22/2023 13:00:00,29.81,6.53,,,,
4,06/22/2023 14:00:00,28.48,3.66,,,,
5,06/22/2023 15:00:00,27.63,3.25,,,,
6,06/22/2023 16:00:00,27.07,2.84,,,,
7,06/22/2023 17:00:00,26.64,13.07,,,,
8,06/22/2023 18:00:00,26.30,12.05,,,,
9,06/22/2023 19:00:00,26.12,3.05,,,,
10,06/22/2023 20:00:00,26.08,2.64,,,,
11,06/22/2023 21:00:00,25.87,1.83,,,,
12,06/22/2023 22:00:00,25.69,1.01,,,,
13,06/22/2023 23:00:00,25.48,0.81,,,,
14,06/23/2023 00:00:00,25.18,0.81,,,,
15,06/23/2023 01:00:00,24.92,0.61,,,,
16,06/23/2023 02:00:00,24.62,0.81,,,,
17,06/23/2023 03:00:00,24.49,1.62,,,,
18,06/23/2023 04:00:00,24.32,2.84,,,,
19,06/23/2023 05:00:00,24.28,3.66,,,,
20,06/23/2023 06:00:00,24.24,4.67,,,,
21,06/23/2023 07:00:00,24.19,4.47,,,,
22,06/23/2023 08:00:00,24.11,10.83,,,,
23,06/23/2023 09:00:00,24.36,13.50,,,,
24,06/23/2023 10:00:00,21.62,7.80,,,,
25,06/23/2023 11:00:00,18.92,2.26,,,,
26,06/23/2023 12:00:00,19.30,1.42,,,,
27,06/23/2023 13:00:00,26.98,119.72,,,,
28,06/23/2023 14:00:00,24.79,0.00,,,,
29,06/23/2023 15:00:00,24.71,0.00,,,,
30,06/23/2023 16:00:00,24.79,9.20,,,,
31,06/23/2023 17:00:00,24.92,7.78,,,,
32,06/23/2023 18:00:00,24.88,5.51,,,,
33,06/23/2023 19:00:00,24.62,3.89,,,,
34,06/23/2023 20:00:00,24.32,2.03,,,,
35,06/23/2023 21:00:00,24.02,1.01,,,,
36,06/23/2023 22:00:00,23.81,0.81,,,,
37,06/23/2023 23:00:00,23.55,0.61,,,,
38,06/24/2023 00:00:00,23.29,0.00,,,,
39,06/24/2023 01:00:00,23.21,0.00,,,,
40,06/24/2023 02:00:00,23.08,0.40,,,,
41,06/24/2023 03:00:00,22.91,0.20,,,,
42,06/24/2023 04:00:00,22.82,0.40,,,,
43,06/24/2023 05:00:00,22.73,1.01,,,,
44,06/24/2023 06:00:00,22.69,1.83,,,,
45,06/24/2023 07:00:00,22.78,1.22,,,,
46,06/24/2023 08:00:00,22.91,2.03,,,,
47,06/24/2023 09:00:00,22.95,2.64,,,,
48,06/24/2023 10:00:00,22.99,3.66,,,,
49,06/24/2023 11:00:00,23.12,3.86,,,,
50,06/24/2023 12:00:00,23.25,3.66,,,,
51,06/24/2023 13:00:00,23.29,6.94,,,,
52,06/24/2023 14:00:00,23.38,7.78,,,,
53,06/24/2023 15:00:00,23.38,2.84,,,,
54,06/24/2023 16:00:00,23.25,2.64,,,,
55,06/24/2023 17:00:00,23.16,4.09,,,,
56,06/24/2023 18:00:00,23.12,1.83,,,,
57,06/24/2023 19:00:00,23.08,2.44,,,,
58,06/24/2023 20:00:00,22.95,0.20,,,,
59,06/24/2023 21:00:00,22.82,0.20,,,,
60,06/24/2023 22:00:00,22.69,0.00,,,,
61,06/24/2023 23:00:00,22.48,0.00,,,,
62,06/25/2023 00:00:00,22.26,0.00,,,,
63,06/25/2023 01:00:00,22.18,0.00,,,,
64,06/25/2023 02:00:00,22.13,0.20,,,,
65,06/25/2023 03:00:00,22.13,0.00,,,,
66,06/25/2023 04:00:00,22.05,0.00,,,,
67,06/25/2023 05:00:00,21.96,0.81,,,,
68,06/25/2023 06:00:00,21.96,1.22,,,,
69,06/25/2023 07:00:00,22.18,2.64,,,,
70,06/25/2023 08:00:00,22.22,1.22,,,,
71,06/25/2023 09:00:00,22.39,5.31,,,,
72,06/25/2023 10:00:00,22.65,3.48,,,,
73,06/25/2023 11:00:00,22.73,5.11,,,,
74,06/25/2023 12:00:00,22.86,7.37,,,,
75,06/25/2023 13:00:00,22.95,3.68,,,,
76,06/25/2023 14:00:00,23.08,7.34,,,,
77,06/25/2023 15:00:00,23.16,5.31,,,,
78,06/25/2023 16:00:00,23.21,5.51,,,,
79,06/25/2023 17:00:00,23.25,8.59,,,,
80,06/25/2023 18:00:00,23.38,5.31,,,,
81,06/25/2023 19:00:00,23.34,5.51,,,,
82,06/25/2023 20:00:00,23.34,3.68,,,,
83,06/25/2023 21:00:00,23.21,1.83,,,,
84,06/25/2023 22:00:00,23.03,0.61,,,,
85,06/25/2023 23:00:00,22.73,0.20,,,,
86,06/26/2023 00:00:00,22.52,0.20,,,,
87,06/26/2023 01:00:00,22.35,0.61,,,,
88,06/26/2023 02:00:00,22.22,0.61,,,,
89,06/26/2023 03:00:00,22.13,1.01,,,,
90,06/26/2023 04:00:00,21.96,1.83,,,,
91,06/26/2023 05:00:00,21.88,3.45,,,,
92,06/26/2023 06:00:00,22.05,7.57,,,,
93,06/26/2023 07:00:00,22.65,9.40,,,,
94,06/26/2023 08:00:00,23.46,58.98,,,,
95,06/26/2023 09:00:00,25.82,115.52,,,,
96,06/26/2023 10:00:00,27.67,119.72,,,,
97,06/26/2023 11:00:00,29.26,134.36,,,,
98,06/26/2023 12:00:00,31.01,22.73,,,,
99,06/26/2023 13:00:00,28.65,2.84,,,,
100,06/26/2023 14:00:00,26.72,1.62,,,,
101,06/26/2023 15:00:00,25.87,0.40,,,,
102,06/26/2023 16:00:00,25.39,0.20,,,,
103,06/26/2023 17:00:00,25.01,0.20,,,,
104,06/26/2023 18:00:00,24.71,0.20,,,,
105,06/26/2023 19:00:00,24.49,0.20,,,,
106,06/26/2023 20:00:00,24.19,0.00,,,,
107,06/26/2023 21:00:00,23.94,0.00,,,,
108,06/26/2023 22:00:00,23.64,0.00,,,,
109,06/26/2023 23:00:00,23.29,0.00,,,,
110,06/27/2023 00:00:00,22.95,0.00,,,,
111,06/27/2023 01:00:00,22.69,0.00,,,,
112,06/27/2023 02:00:00,22.48,0.00,,,,
113,06/27/2023 03:00:00,22.35,0.00,,,,
